"Provincia";"Cod_ALPI";"Nº 405 Voy a casa del maestro";"[d]_2";"Casa_1";"Prep_de_1"
"Asturias";300;"casa del";"d";"casa";"de"
"Asturias";301;"casa del";"d";"casa";"de"
"Asturias";302;"ca'l";0;"ca";"no"
"Asturias";303;"casa del";"d-";"casa";"de"
"Asturias";304;"casa del";"d";"casa";"de"
"Asturias";305;"casa el";0;"casa";"articulo_pleno"
"Asturias";306;"casa del";"d";"casa";"de"
"Asturias";307;"ca'l";0;"ca";"no"
"Asturias";308;"ca'l";0;"ca";"no"
"Asturias";309;"ca'l";0;"ca";"no"
"Asturias";310;"ca'l";0;"ca";"no"
"Asturias";311;"casa el";0;"casa";"articulo_pleno"
"Asturias";311;"ca'l";0;"ca";"no"
"Asturias";312;"ca el";0;"ca";"articulo_pleno"
"Asturias";313;"ca'l";0;"ca";"no"
"Asturias";314;"casa el";0;"casa";"articulo_pleno"
"Asturias";315;"ca la (sin prep)";;"ca";"no"
"Asturias";316;"ca'l";0;"ca";"no"
"Asturias";317;"cai el";0;"cai";"articulo_pleno"
"Asturias";318;"ca el";0;"ca";"articulo_pleno"
"Asturias";319;"ca el";0;"ca";"articulo_pleno"
"Asturias";320;"ca'l";0;"ca";"no"
"Asturias";321;"ca'l";0;"ca";"no"
"Asturias";322;"cae el";0;"cai";"articulo_pleno"
"Asturias";323;"casa del";"d";"casa";"de"
"León";324;"casa do";"d";"casa";"de"
"León";325;"casa dal";"d";"casa";"de"
"León";326;"casa del";"d";"casa";"de"
"León";326;"cai del";"d";"cai";"de"
"León";327;"ca'l";0;"ca";"no"
"León";328;"ca'l";0;"ca";"no"
"León";329;"ca'l";0;"ca";"no"
"León";330;"ca'l";0;"ca";"no"
"León";331;"ca'l";0;"ca";"no"
"León";332;"ca'l";0;"ca";"no"
"León";333;"casa do";"d";"casa";"de"
"León";334;"ca'l";0;"ca";"no"
"León";335;"ca'l";0;"ca";"no"
"León";336;"ca'l";0;"ca";"no"
"Zamora";337;"casa el";0;"casa";"articulo_pleno"
"Zamora";338;"ca'l";0;"ca";"no"
"Zamora";339;"ca'l";0;"ca";"no"
"Zamora";340;"casa do";"d";"casa";"de"
"Zamora";341;"casa do";"d";"casa";"de"
"Zamora";342;"ca'l";0;"ca";"no"
"Zamora";343;"ca'l";0;"ca";"no"
"Zamora";344;"ca'l";0;"ca";"no"
"Zamora";345;"ca del";"d";"ca";"de"
"Zamora";346;"ca del";"d";"ca";"de"
"Zamora";347;"ca'l";0;"ca";"no"
"Zamora";348;"ca el";0;"ca";"articulo_pleno"
"Salamanca";349;"ca'l";0;"ca";"no"
"Salamanca";350;"ca'l";0;"ca";"no"
"Salamanca";351;"ca'l";0;"ca";"no"
"Salamanca";352;"ca'l";0;"ca";"no"
"Salamanca";353;"ca'l";0;"ca";"no"
"Salamanca";354;"ca'l";0;"ca";"no"
"Salamanca";355;"ca'l";0;"ca";"no"
"Salamanca";356;"ca'l";0;"ca";"no"
"Salamanca";357;"ca'l";0;"ca";"no"
"Salamanca";358;"ca el";0;"ca";"articulo_pleno"
"Salamanca";359;"ca'l";0;"ca";"no"
"Cáceres";360;"casa du";"d";"casa";"de"
"Cáceres";361;"ca el";0;"ca";"articulo_pleno"
"Cáceres";362;"ca u";0;"ca";"articulo_pleno"
