"Observacion_ID";"Provincia";"Cod_ALPI";"Nº 405 Voy a casa del maestro_1";"[d]_2";"Casa_1";"Prep_de_1";"Variante_1";"Nº 405 Voy a casa del maestro_2";"[d]_2";"Casa_2";"Prep_de_2"
1;"Asturias";300;"casa del";"d";"casa";"de";"casa de";;;;
2;"Asturias";301;"casa del";"d";"casa";"de";"casa de";;;;
3;"Asturias";302;"ca'l";0;"ca";"no";"ca";;;;
4;"Asturias";303;"casa del";"d-";"casa";"de";"casa de";;;;
5;"Asturias";304;"casa del";"d";"casa";"de";"casa de";;;;
6;"Asturias";305;"casa el";0;"casa";"articulo_pleno";"casa";;;;
7;"Asturias";306;"casa del";"d";"casa";"de";"casa de";;;;
8;"Asturias";307;"ca'l";0;"ca";"no";"ca";;;;
9;"Asturias";308;"ca'l";0;"ca";"no";"ca";;;;
10;"Asturias";309;"ca'l";0;"ca";"no";"ca";;;;
11;"Asturias";310;"ca'l";0;"ca";"no";"ca";;;;
12;"Asturias";311;"casa el";0;"casa";"articulo_pleno";"casa";"ca'l";0;"ca";"no"
13;"Asturias";312;"ca el";0;"ca";"articulo_pleno";"ca";;;;
14;"Asturias";313;"ca'l";0;"ca";"no";"ca";;;;
15;"Asturias";314;"casa el";0;"casa";"articulo_pleno";"casa";;;;
16;"Asturias";315;"ca la (sin prep)";;"ca";"no";"ca";;;;
17;"Asturias";316;"ca'l";0;"ca";"no";"ca";;;;
18;"Asturias";317;"cai el";0;"cai";"articulo_pleno";"cai";;;;
19;"Asturias";318;"ca el";0;"ca";"articulo_pleno";"ca";;;;
20;"Asturias";319;"ca el";0;"ca";"articulo_pleno";"ca";;;;
21;"Asturias";320;"ca'l";0;"ca";"no";"ca";;;;
22;"Asturias";321;"ca'l";0;"ca";"no";"ca";;;;
23;"Asturias";322;"cae el";0;"cai";"articulo_pleno";"cai";;;;
24;"Asturias";323;"casa del";"d";"casa";"de";"casa de";;;;
25;"León";324;"casa do";"d";"casa";"de";"casa de";;;;
26;"León";325;"casa dal";"d";"casa";"de";"casa de";;;;
27;"León";326;"casa del";"d";"casa";"de";"casa de";"cai del";"d";"cai";"de"
28;"León";327;"ca'l";0;"ca";"no";"ca";;;;
29;"León";328;"ca'l";0;"ca";"no";"ca";;;;
30;"León";329;"ca'l";0;"ca";"no";"ca";;;;
31;"León";330;"ca'l";0;"ca";"no";"ca";;;;
32;"León";331;"ca'l";0;"ca";"no";"ca";;;;
33;"León";332;"ca'l";0;"ca";"no";"ca";;;;
34;"León";333;"casa do";"d";"casa";"de";"casa de";;;;
35;"León";334;"ca'l";0;"ca";"no";"ca";;;;
36;"León";335;"ca'l";0;"ca";"no";"ca";;;;
37;"León";336;"ca'l";0;"ca";"no";"ca";;;;
38;"Zamora";337;"casa el";0;"casa";"articulo_pleno";"casa";;;;
39;"Zamora";338;"ca'l";0;"ca";"no";"ca";;;;
40;"Zamora";339;"ca'l";0;"ca";"no";"ca";;;;
41;"Zamora";340;"casa do";"d";"casa";"de";"casa de";;;;
42;"Zamora";341;"casa do";"d";"casa";"de";"casa de";;;;
43;"Zamora";342;"ca'l";0;"ca";"no";"ca";;;;
44;"Zamora";343;"ca'l";0;"ca";"no";"ca";;;;
45;"Zamora";344;"ca'l";0;"ca";"no";"ca";;;;
46;"Zamora";345;"ca del";"d";"ca";"de";"ca de";;;;
47;"Zamora";346;"ca del";"d";"ca";"de";"ca de";;;;
48;"Zamora";347;"ca'l";0;"ca";"no";"ca";;;;
49;"Zamora";348;"ca el";0;"ca";"articulo_pleno";"ca";;;;
50;"Salamanca";349;"ca'l";0;"ca";"no";"ca";;;;
51;"Salamanca";350;"ca'l";0;"ca";"no";"ca";;;;
52;"Salamanca";351;"ca'l";0;"ca";"no";"ca";;;;
53;"Salamanca";352;"ca'l";0;"ca";"no";"ca";;;;
54;"Salamanca";353;"ca'l";0;"ca";"no";"ca";;;;
55;"Salamanca";354;"ca'l";0;"ca";"no";"ca";;;;
56;"Salamanca";355;"ca'l";0;"ca";"no";"ca";;;;
57;"Salamanca";356;"ca'l";0;"ca";"no";"ca";;;;
58;"Salamanca";357;"ca'l";0;"ca";"no";"ca";;;;
59;"Salamanca";358;"ca el";0;"ca";"articulo_pleno";"ca";;;;
60;"Salamanca";359;"ca'l";0;"ca";"no";"ca";;;;
61;"Cáceres";360;"casa du";"d";"casa";"de";"casa de";;;;
62;"Cáceres";361;"ca el";0;"ca";"articulo_pleno";"ca";;;;
63;"Cáceres";362;"ca u";0;"ca";"articulo_pleno";"ca";;;;
64;"Cáceres";363;"ca el";0;"ca";"articulo_pleno";"ca";;;;
65;"Cáceres";3632;;;"NA";"NA";"NA";;;;
66;"Cáceres";364;"ca el";0;"ca";"articulo_pleno";"ca";;;;
67;"Cáceres";365;"casa do";"d";"casa";"de";"casa de";;;;
68;"Cáceres";366;"ca el";0;"ca";"articulo_pleno";"ca";;;;
69;"Cáceres";367;"ca el";0;"ca";"articulo_pleno";"ca";;;;
70;"Badajoz";368;"ca'l";0;"ca";"no";"ca";;;;
71;"Badajoz";369;"ca el";0;"ca";"articulo_pleno";"ca";;;;
72;"Badajoz";370;"ca'l";0;"ca";"no";"ca";;;;
73;"Badajoz";371;"ca'l";0;"ca";"no";"ca";;;;
