ID	Nombre	Localidad	Provincia	Comunidad	longitude	latitude
Le 100	San Emiliano,León,Castilla y León	San Emiliano	León	Castilla y León	-6.0255738	42.977605
Le 101	Palacios del Sil,León,Castilla y León	Palacios del Sil	León	Castilla y León	-6.433696299999999	42.8759872
Le 200	Soto,León,Castilla y León	Soto	León	Castilla y León	-5.8858445	42.7770109
Le 201	Lillo del Bierzo,León,Castilla y León	Lillo del Bierzo	León	Castilla y León	-6.608374899999999	42.78347369999999
Le 202	Vozmediano,León,Castilla y León	Vozmediano	León	Castilla y León	-5.228625099999999	42.8754425
Le 203	Garfín,León,Castilla y León	Garfín	León	Castilla y León	-5.245593599999999	42.6774928
Le 300	Peranzanes,León,Castilla y León	Peranzanes	León	Castilla y León	-6.6334158	42.8770147
Le 301	Igüeña,León,Castilla y León	Igüeña	León	Castilla y León	-6.276765699999999	42.7279655
Le 302	La Utrera,León,Castilla y León	La Utrera	León	Castilla y León	-5.9181881	42.7084063
Le 303	Berlanga,León,Castilla y León	Berlanga	León	Castilla y León	-6.600363799999999	42.7304458
Le 304	Villagatón,León,Castilla y León	Villagatón	León	Castilla y León	-6.1616469	42.6352516
Le 305	Ponferrada,León,Castilla y León	Ponferrada	León	Castilla y León	-6.598259000000001	42.5499958
Le 306	Oencia,León,Castilla y León	Oencia	León	Castilla y León	-6.9715827	42.5473312
Le 307	Carracedo del Monasterio,León,Castilla y León	Carracedo del Monasterio	León	Castilla y León	-6.728056	42.571389
Le 400	La Vecilla,León,Castilla y León	La Vecilla	León	Castilla y León	-5.4044268	42.8241427
Le 401	Prioro,León,Castilla y León	Prioro	León	Castilla y León	-4.962363900000001	42.89396230000001
Le 402	León,León,Castilla y León	León	León	Castilla y León	-5.5670959	42.5987263
Le 403	Castromudarra,León,Castilla y León	Castromudarra	León	Castilla y León	-5.0618207	42.6125325
Le 500	Tabayo,León,Castilla y León	Tabayo	León	Castilla y León	-6.2024282	42.3141706
Le 501	Encinedo,León,Castilla y León	Encinedo	León	Castilla y León	-6.594022499999999	42.2711492
Le 502	Castrocontrigo,León,Castilla y León	Castrocontrigo	León	Castilla y León	-6.1904894	42.1834008
Le 600	Santas Martas,León,Castilla y León	Santas Martas	León	Castilla y León	-5.3710551	42.43212390000001
Le 601	San Cristóbal de la Polantera,León,Castilla y León	San Cristóbal de la Polantera	León	Castilla y León	-5.907295	42.3910551
Le 602	Valdepolo,León,Castilla y León	Valdepolo	León	Castilla y León	-5.226014999999999	42.5770731
Le 603	Pobladura de Pelayo,León,Castilla y León	Pobladura de Pelayo	León	Castilla y León	-5.683927499999999	42.3060676
Le 604	Valencia de don Juan,León,Castilla y León	Valencia de don Juan	León	Castilla y León	-5.519119799999999	42.29253
Le 605	Izagre,León,Castilla y León	Izagre	León	Castilla y León	-5.257344	42.2237967
Le 606	Alija del Infantado,León,Castilla y León	Alija del Infantado	León	Castilla y León	-5.8340651	42.138709
Za 100	San Martín de Castañeda,Zamora,Castilla y León	San Martín de Castañeda	Zamora	Castilla y León	-6.720968999999999	42.1360101
Za 101	Espadeño,Zamora,Castilla y León	Espadeño	Zamora	Castilla y León	-6.3950922	42.11681129999999
Za 102	Porto,Zamora,Castilla y León	Porto	Zamora	Castilla y León	-6.856542699999999	42.16947529999999
Za 103	Hermisende,Zamora,Castilla y León	Hermisende	Zamora	Castilla y León	-6.896096399999999	41.96825330000001
Za 104	Fogoso de Carbolleda,Zamora,Castilla y León	Fogoso de Carbolleda	Zamora	Castilla y León	-6.4353608	41.9576951
Za 200	Brime de Sog,Zamora,Castilla y León	Brime de Sog	Zamora	Castilla y León	-6.0474046	42.0605224
Za 201	Villabrázaro,Zamora,Castilla y León	Villabrázaro	Zamora	Castilla y León	-5.7280076	42.0534763
Za 202	Cerecinos de Campos,Zamora,Castilla y León	Cerecinos de Campos	Zamora	Castilla y León	-5.4869569	41.9015722
Za 300	Serracín de Aliste,Zamora,Castilla y León	Serracín de Aliste	Zamora	Castilla y León	-6.1904894	41.84416119999999
Za 301	San Martín de Pedroso,Zamora,Castilla y León	San Martín de Pedroso	Zamora	Castilla y León	-6.554986899999999	41.7298074
Za 302	Ceadea,Zamora,Castilla y León	Ceadea	Zamora	Castilla y León	-6.2528618	41.68339539999999
Za 400	Belver de los Montes,Zamora,Castilla y León	Belver de los Montes	Zamora	Castilla y León	-5.4522276	41.7229172
Za 401	Pozuelo de Tábara,Zamora,Castilla y León	Pozuelo de Tábara	Zamora	Castilla y León	-5.8954138	41.7853811
Za 402	Andavías,Zamora,Castilla y León	Andavías	Zamora	Castilla y León	-5.8578055000000004	41.5955008
Za 403	Matilla la Seca,Zamora,Castilla y León	Matilla la Seca	Zamora	Castilla y León	-5.5007233	41.578919
Za 404	Villardiegua de la Ribera,Zamora,Castilla y León	Villardiegua de la Ribera	Zamora	Castilla y León	-6.1831947	41.5361673
Za 405	Zamora,Zamora,Castilla y León	Zamora	Zamora	Castilla y León	-5.7467879	41.5034712
Za 500	Fermoselle,Zamora,Castilla y León	Fermoselle	Zamora	Castilla y León	-6.393951899999999	41.316623
Za 600	Venialbo,Zamora,Castilla y León	Venialbo	Zamora	Castilla y León	-5.536793599999999	41.3895764
Za 601	Torrefrades,Zamora,Castilla y León	Torrefrades	Zamora	Castilla y León	-6.0540215	41.3466797
Za 602	Vadillo de la Guareña,Zamora,Castilla y León	Vadillo de la Guareña	Zamora	Castilla y León	-5.3533955	41.2807414
Za 603	El Cubo de la Tierra del Vino,Zamora,Castilla y León	El Cubo de la Tierra del Vino	Zamora	Castilla y León	-5.704867	41.258659
Sa 100	La Vídola,Salamanca,Castilla y León	La Vídola	Salamanca	Castilla y León	-6.486982299999999	41.1542438
