Atlas;ID;Localidad;Provincia;Comunidad;Transcripcion_ortografica;Variantes_casa
ALCyL;Le 100;San Emiliano;León;Castilla y León;en ca;en ca
ALCyL;Le 101;Palacios del Sil;León;Castilla y León;en ca;en ca
ALCyL;Le 200;Soto;León;Castilla y León;a lo/la;otros
ALCyL;Le 201;Lillo del Bierzo;León;Castilla y León;en ca;en ca
ALCyL;Le 202;Vozmediano;León;Castilla y León;NA;NA
ALCyL;Le 203;Garfín;León;Castilla y León;donde;otros
ALCyL;Le 300;Peranzanes;León;Castilla y León;donde;otros
ALCyL;Le 301;Igüeña;León;Castilla y León;donde;otros
ALCyL;Le 302;La Utrera;León;Castilla y León;donde;otros
ALCyL;Le 303;Berlanga;León;Castilla y León;en ca;en ca
ALCyL;Le 304;Villagatón;León;Castilla y León;donde, a lo/la;otros
ALCyL;Le 305;Ponferrada;León;Castilla y León;donde;otros
ALCyL;Le 306;Oencia;León;Castilla y León;en ca;en ca
ALCyL;Le 307;Carracedo del Monasterio;León;Castilla y León;a lo/la;otros
ALCyL;Le 400;La Vecilla;León;Castilla y León;donde;otros
ALCyL;Le 401;Prioro;León;Castilla y León;donde, a lo/la;otros
ALCyL;Le 402;León;León;Castilla y León;NA;NA
ALCyL;Le 403;Castromudarra;León;Castilla y León;en ca, a lo/la;en ca
ALCyL;Le 500;Tabayo;León;Castilla y León;donde, a lo/la;otros
ALCyL;Le 501;Encinedo;León;Castilla y León;donde;otros
ALCyL;Le 502;Castrocontrigo;León;Castilla y León;en ca;en ca
ALCyL;Le 600;Santas Martas;León;Castilla y León;donde, a lo/la;otros
ALCyL;Le 601;San Cristóbal de la Polantera;León;Castilla y León;a lo/la;otros
ALCyL;Le 602;Valdepolo;León;Castilla y León;NA;NA
ALCyL;Le 603;Pobladura de Pelayo;León;Castilla y León;a lo/la;otros
ALCyL;Le 604;Valencia de don Juan;León;Castilla y León;a lo/la;otros
ALCyL;Le 605;Izagre;León;Castilla y León;donde;otros
ALCyL;Le 606;Alija del Infantado;León;Castilla y León;donde, a lo/la;otros
ALCyL;Za 100;San Martín de Castañeda;Zamora;Castilla y León;donde, a lo/la;otros
ALCyL;Za 101;Espadeño;Zamora;Castilla y León;a lo/la, donde;otros
ALCyL;Za 102;Porto;Zamora;Castilla y León;en ca;en ca
ALCyL;Za 103;Hermisende;Zamora;Castilla y León;a lo/la;otros
ALCyL;Za 104;Fogoso de Carbolleda;Zamora;Castilla y León;a lo/la;otros
ALCyL;Za 200;Brime de Sog;Zamora;Castilla y León;a do;otros
ALCyL;Za 201;Villabrázaro;Zamora;Castilla y León;a lo/la, donde;otros
ALCyL;Za 202;Cerecinos de Campos;Zamora;Castilla y León;a lo/la, donde;otros
ALCyL;Za 300;Serracín de Aliste;Zamora;Castilla y León;donde;otros
ALCyL;Za 301;San Martín de Pedroso;Zamora;Castilla y León;a do;otros
