ID	Nombre	Localidad	Provincia	Comunidad	longitude	latitude
H 100	Encinasola,Huelva,Andalucía	Encinasola	Huelva	Andalucía	-6.871288799999999	38.1381825
H 101	Rosal de la Frontera,Huelva,Andalucía	Rosal de la Frontera	Huelva	Andalucía	-7.2207943	37.9671774
H 102	Aroche,Huelva,Andalucía	Aroche	Huelva	Andalucía	-6.9544649	37.9436991
H 200	Cumbres de San Bartolomé,Huelva,Andalucía	Cumbres de San Bartolomé	Huelva	Andalucía	-6.7420396	38.0779265
H 201	Arroyomoloinos de León,Huelva,Andalucía	Arroyomoloinos de León	Huelva	Andalucía	-6.4216722	38.0240295
H 202	Aracena,Huelva,Andalucía	Aracena	Huelva	Andalucía	-6.561888400000001	37.8935487
H 203	Santa Olalla del Cala,Huelva,Andalucía	Santa Olalla del Cala	Huelva	Andalucía	-6.2283035	37.90785839999999
H 204	Almonaster la Real,Huelva,Andalucía	Almonaster la Real	Huelva	Andalucía	-6.7875489	37.8723167
H 300	Cabezas Rubias,Huelva,Andalucía	Cabezas Rubias	Huelva	Andalucía	-7.0868239	37.7265272
H 301	Calañas,Huelva,Andalucía	Calañas	Huelva	Andalucía	-6.8793335	37.6548016
H 302	La Puebla de Guzmán,Huelva,Andalucía	La Puebla de Guzmán	Huelva	Andalucía	-7.248429499999999	37.6134855
H 303	Sanlúcar de Guadiana,Huelva,Andalucía	Sanlúcar de Guadiana	Huelva	Andalucía	-7.466197299999998	37.4730074
H 400	Higuera de la Sierra,Huelva,Andalucía	Higuera de la Sierra	Huelva	Andalucía	-6.4463477	37.8353642
H 401	Campofrío,Huelva,Andalucía	Campofrío	Huelva	Andalucía	-6.575357	37.7653534
H 402	Berrocal,Huelva,Andalucía	Berrocal	Huelva	Andalucía	-6.5419804	37.6080876
H 500	San Bartolomé de la Torre,Huelva,Andalucía	San Bartolomé de la Torre	Huelva	Andalucía	-7.1045431	37.4465111
H 501	San Silvestre de Guzmán,Huelva,Andalucía	San Silvestre de Guzmán	Huelva	Andalucía	-7.348279900000001	37.38849330000001
H 502	Moguer,Huelva,Andalucía	Moguer	Huelva	Andalucía	-6.8369079	37.27464
H 503	Huelva,Huelva,Andalucía	Huelva	Huelva	Andalucía	-6.9447224	37.261421
H 504	Ayamonte,Huelva,Andalucía	Ayamonte	Huelva	Andalucía	-7.4043413	37.2141237
H 600	Beas,Huelva,Andalucía	Beas	Huelva	Andalucía	-6.8136642	37.4637036
H 601	Paterna del Campo,Huelva,Andalucía	Paterna del Campo	Huelva	Andalucía	-6.4021367	37.4192869
H 602	Niebla,Huelva,Andalucía	Niebla	Huelva	Andalucía	-6.6785142	37.3611241
H 603	Bollullos Par del Condado,Huelva,Andalucía	Bollullos Par del Condado	Huelva	Andalucía	-6.5383124	37.3383616
Se 100	Guadacanal,Sevilla,Andalucía	Guadacanal	Sevilla	Andalucía	-5.8205506	38.0924974
Se 101	El Real de la Jara,Sevilla,Andalucía	El Real de la Jara	Sevilla	Andalucía	-6.1540241	37.9487253
Se 102	El Pedroso,Sevilla,Andalucía	El Pedroso	Sevilla	Andalucía	-5.7655343	37.8415667
Se 200	Navas de la Concepción,Sevilla,Andalucía	Navas de la Concepción	Sevilla	Andalucía	-5.4655542	37.9332489
Se 201	La Puebla de los Infantes,Sevilla,Andalucía	La Puebla de los Infantes	Sevilla	Andalucía	-5.3895778	37.780393
Se 300	Castilblanco,Sevilla,Andalucía	Castilblanco	Sevilla	Andalucía	-5.989867599999999	37.6741826
Se 301	El Madroño,Sevilla,Andalucía	El Madroño	Sevilla	Andalucía	-6.5111422	37.6450769
Se 302	El Garrobo,Sevilla,Andalucía	El Garrobo	Sevilla	Andalucía	-6.1725856	37.6276545
Se 303	Alcolea del Río,Sevilla,Andalucía	Alcolea del Río	Sevilla	Andalucía	-5.6681456	37.6158112
Se 304	Burguillos,Sevilla,Andalucía	Burguillos	Sevilla	Andalucía	-5.9680575	37.5857795
Se 305	Aznalcóllar,Sevilla,Andalucía	Aznalcóllar	Sevilla	Andalucía	-6.2681327	37.5191373
Se 306	Olivares,Sevilla,Andalucía	Olivares	Sevilla	Andalucía	-6.142094699999999	37.4686407
Se 307	Sevilla,Sevilla,Andalucía	Sevilla	Sevilla	Andalucía	-5.9844589	37.3890924
Se 308	Viso del Alcor,Sevilla,Andalucía	Viso del Alcor	Sevilla	Andalucía	-5.721781099999999	37.3886862
Se 309	Bollullos de la Mitacion,Sevilla,Andalucía	Bollullos de la Mitacion	Sevilla	Andalucía	-6.1381188	37.339834
Se 310	Pilas,Sevilla,Andalucía	Pilas	Sevilla	Andalucía	-6.2986857	37.3034383
Se 400	La Campana,Sevilla,Andalucía	La Campana	Sevilla	Andalucía	-5.995125	37.3927382
Se 401	Écija,Sevilla,Andalucía	Écija	Sevilla	Andalucía	-5.0826742	37.5414656
