ID	Nombre	Localidad	Comunidad	longitude	latitude
S 100	Oreña,Cantabria	Oreña	Cantabria	-4.1353837	43.3941216
S 101	San Vicente de la Barquera,Cantabria	San Vicente de la Barquera	Cantabria	-4.397057999999999	43.3813069
S 102	Tanos,Cantabria	Tanos	Cantabria	-4.0433763	43.3313366
S 103	Helguera,Cantabria	Helguera	Cantabria	-4.097021199999999	43.3521522
S 104	Udías,Cantabria	Udías	Cantabria	-4.2435893	43.3377822
S 105	Celis,Cantabria	Celis	Cantabria	-4.4342872	43.2829472
S 106	Herrera de Ibio,Cantabria	Herrera de Ibio	Cantabria	-4.1789077	43.2996065
S 107	La Hermida,Cantabria	La Hermida	Cantabria	-4.6143708	43.2550283
S 108	Tresviso,Cantabria	Tresviso	Cantabria	-4.6679637	43.2570793
S 200	Santander,Cantabria	Santander	Cantabria	-3.8099803	43.46230569999999
S 201	Noja,Cantabria	Noja	Cantabria	-3.5281482	43.4847877
S 202	Mortera de Piélagos,Cantabria	Mortera de Piélagos	Cantabria	-3.9272872	43.4447536
S 203	Castañedo,Cantabria	Castañedo	Cantabria	-3.6965038	43.4473892
S 204	Laredo,Cantabria	Laredo	Cantabria	-3.428383	43.4096287
S 205	Orejo,Cantabria	Orejo	Cantabria	-3.7378563	43.40400409999999
S 206	Hazas de Cesto,Cantabria	Hazas de Cesto	Cantabria	-3.5886565	43.3972126
S 207	Castro Urdiales,Cantabria	Castro Urdiales	Cantabria	-3.2156354	43.3688221
S 208	Villanueva,Cantabria	Villanueva	Cantabria	-3.8629852	43.36811
S 209	La Aparecida,Cantabria	La Aparecida	Cantabria	-3.45157	43.32655390000001
S 210	Guriezo,Cantabria	Guriezo	Cantabria	-3.318747	43.3393676
S 211	La Cavada,Cantabria	La Cavada	Cantabria	-3.7079622	43.3523467
S 212	San Miguel de Aras,Cantabria	San Miguel de Aras	Cantabria	-3.5082699	43.32754329999999
S 213	Matienzo,Cantabria	Matienzo	Cantabria	-3.583483799999999	43.3142159
S 214	Penilla de Toranzo,Cantabria	Penilla de Toranzo	Cantabria	-3.9489515	43.2862262
S 300	Carmona,Cantabria	Carmona	Cantabria	-4.3597245	43.2544438
S 301	Villasuso,Cantabria	Villasuso	Cantabria	-4.0046503	43.2138786
S 302	San Sebastián de Garabandal,Cantabria	San Sebastián de Garabandal	Cantabria	-4.4239964999999994	43.2012727
S 303	Potes,Cantabria	Potes	Cantabria	-4.623785799999999	43.15358140000001
S 304	Camaleño,Cantabria	Camaleño	Cantabria	-4.6937268	43.151194
S 305	Tudanca,Cantabria	Tudanca	Cantabria	-4.3735365	43.1521484
S 306	Bárcena Mayor,Cantabria	Bárcena Mayor	Cantabria	-4.1933004	43.1437672
S 307	Molledo,Cantabria	Molledo	Cantabria	-4.0432133	43.1516842
S 308	Espinama,Cantabria	Espinama	Cantabria	-4.7869597	43.12836799999999
S 309	Sovaredo,Cantabria	Sovaredo	Cantabria	-3.9878427	43.1828396
S 310	Pesquera,Cantabria	Pesquera	Cantabria	-4.0644352	43.0881975
S 311	Pesaguero,Cantabria	Pesaguero	Cantabria	-4.5436158	43.0761575
S 312	Salceda,Cantabria	Salceda	Cantabria	-4.4582529	43.0800668
S 313	Abiada,Cantabria	Abiada	Cantabria	-4.2920015	43.01901600000001
S 400	La Cárcoba,Cantabria	La Cárcoba	Cantabria	-3.7140009	43.2750758
S 401	Villaverde de Trucios,Cantabria	Villaverde de Trucios	Cantabria	-3.2625754	43.2472872
S 402	Villacarriedo,Cantabria	Villacarriedo	Cantabria	-3.8102032	43.2281523
S 403	Ramales de la Victoria,Cantabria	Ramales de la Victoria	Cantabria	-3.4634142	43.2569092
S 404	Castillo Pedroso,Cantabria	Castillo Pedroso	Cantabria	-3.969722	43.216111
S 405	Arredondo,Cantabria	Arredondo	Cantabria	-3.6002547	43.2741785
S 406	Pandillo,Cantabria	Pandillo	Cantabria	-3.720556	43.147778
S 407	Veguilla,Cantabria	Veguilla	Cantabria	-4.099072899999999	43.3584542
S 408	San Pedro del Romeral,Cantabria	San Pedro del Romeral	Cantabria	-3.8451731	43.1296571
S 409	La Población del Yuso,Cantabria	La Población del Yuso	Cantabria	-3.9448091	43.0302735
S 500	Fresno del Río,Cantabria	Fresno del Río	Cantabria	-4.1438308	43.0175714
S 501	Villanueva,Cantabria	Villanueva	Cantabria	-3.8629852	43.36811
S 502	Olea,Cantabria	Olea	Cantabria	-4.1801756	42.93911689999999
S 503	Aldea de Ebro,Cantabria	Aldea de Ebro	Cantabria	-4.0302737	42.9059089
S 504	San Andrés de Valdelomar,Cantabria	San Andrés de Valdelomar	Cantabria	-4.1579349	42.8041833
S 600	Villaescusa de Ebro,Cantabria	Villaescusa de Ebro	Cantabria	-3.834043699999999	42.8299214
S 601	Polientes,Cantabria	Polientes	Cantabria	-3.9399485	42.8060249
