Atlas;ID;Localidad;Provincia;Comunidad;Transcripcion_ortografica;Variantes_casa
ALEC;S 100;Oreña;Cantabria;Cantabria;donde;otros
ALEC;S 101;San Vicente de la Barquera;Cantabria;Cantabria;onde;otros
ALEC;S 102;Tanos;Cantabria;Cantabria;adonde;otros
ALEC;S 103;Helguera;Cantabria;Cantabria;adonde;otros
ALEC;S 104;Udías;Cantabria;Cantabria;donde;otros
ALEC;S 105;Celis;Cantabria;Cantabria;adonde;otros
ALEC;S 106;Herrera de Ibio;Cantabria;Cantabria;adonde;otros
ALEC;S 107;La Hermida;Cantabria;Cantabria;onde;otros
ALEC;S 108;Tresviso;Cantabria;Cantabria;donde;otros
ALEC;S 200;Santander;Cantabria;Cantabria;a casa de;a casa de
ALEC;S 201;Noja;Cantabria;Cantabria;en casa de;en casa de
ALEC;S 202;Mortera de Piélagos;Cantabria;Cantabria;en casa de;en casa de
ALEC;S 203;Castañedo;Cantabria;Cantabria;donde;otros
ALEC;S 204;Laredo;Cantabria;Cantabria;donde;otros
ALEC;S 205;Orejo;Cantabria;Cantabria;donde;otros
ALEC;S 206;Hazas de Cesto;Cantabria;Cantabria;donde;otros
ALEC;S 207;Castro Urdiales;Cantabria;Cantabria;en casa de;en casa de
ALEC;S 208;Villanueva;Cantabria;Cantabria;a casa de;a casa de
ALEC;S 209;La Aparecida;Cantabria;Cantabria;a casa de;a casa de
ALEC;S 210;Guriezo;Cantabria;Cantabria;donde;otros
ALEC;S 211;La Cavada;Cantabria;Cantabria;onde;otros
ALEC;S 212;San Miguel de Aras;Cantabria;Cantabria;a casa de;a casa de
ALEC;S 213;Matienzo;Cantabria;Cantabria;a casa de, onde;a casa de
ALEC;S 214;Penilla de Toranzo;Cantabria;Cantabria;donde;otros
ALEC;S 300;Carmona;Cantabria;Cantabria;donde;otros
ALEC;S 301;Villasuso;Cantabria;Cantabria;a ca;a ca
ALEC;S 302;San Sebastián de Garabandal;Cantabria;Cantabria;a casa de;a casa de
ALEC;S 303;Potes;Cantabria;Cantabria;onde;otros
ALEC;S 304;Camaleño;Cantabria;Cantabria;onde;otros
ALEC;S 305;Tudanca;Cantabria;Cantabria;lo de;otros
ALEC;S 306;Bárcena Mayor;Cantabria;Cantabria;donde;otros
ALEC;S 307;Molledo;Cantabria;Cantabria;donde;otros
ALEC;S 308;Espinama;Cantabria;Cantabria;donde;otros
ALEC;S 309;Sovaredo;Cantabria;Cantabria;donde;otros
ALEC;S 310;Pesquera;Cantabria;Cantabria;a casa de;a casa de
ALEC;S 311;Pesaguero;Cantabria;Cantabria;en casa de;en casa de
ALEC;S 312;Salceda;Cantabria;Cantabria;en casa de;en casa de
ALEC;S 313;Abiada;Cantabria;Cantabria;donde;otros
ALEC;S 400;La Cárcoba;Cantabria;Cantabria;en casa de;en casa de
ALEC;S 401;Villaverde de Trucios;Cantabria;Cantabria;donde;otros
ALEC;S 402;Villacarriedo;Cantabria;Cantabria;donde;otros
ALEC;S 403;Ramales de la Victoria;Cantabria;Cantabria;lo de;otros
ALEC;S 404;Castillo Pedroso;Cantabria;Cantabria;donde;otros
ALEC;S 405;Arredondo;Cantabria;Cantabria;al;otros
ALEC;S 406;Pandillo;Cantabria;Cantabria;donde;otros
ALEC;S 407;Veguilla;Cantabria;Cantabria;donde;otros
ALEC;S 408;San Pedro del Romeral;Cantabria;Cantabria;donde;otros
ALEC;S 409;La Población del Yuso;Cantabria;Cantabria;donde;otros
ALEC;S 500;Fresno del Río;Cantabria;Cantabria;donde;otros
ALEC;S 501;Villanueva;Cantabria;Cantabria;donde;otros
ALEC;S 502;Olea;Cantabria;Cantabria;en casa de;en casa de
ALEC;S 503;Aldea de Ebro;Cantabria;Cantabria;en casa de;en casa de
ALEC;S 504;San Andrés de Valdelomar;Cantabria;Cantabria;en casa de;en casa de
ALEC;S 600;Villaescusa de Ebro;Cantabria;Cantabria;donde;otros
ALEC;S 601;Polientes;Cantabria;Cantabria;donde;otros
