Pais	Provincia	ID_ALPI	Localidad_ALPI	Nombre_actual	Nombre_completo	longitude	latitude
Andorra	Andorra	700	Encamp	Encamp 	Encamp ,Andorra,Andorra	1.6566377	42.5194138
España	Álava	429	Zuaza	Zuaza 	Zuaza ,Álava,España	-3.0491694	43.0999987
España	Álava	430	Sarría	Sarria 	Sarria ,Álava,España	-2.8246813	42.9659184
España	Álava	431	Ozaeta	Ozaeta 	Ozaeta ,Álava,España	-2.4944483	42.9169822
España	Álava	432	San Vicente de Arana	San Vicente de Arana/Done Bikendi Harana 	San Vicente de Arana/Done Bikendi Harana ,Álava,España	-2.3610035	42.7438085
España	Albacete	482	Munera	Munera 	Munera ,Albacete,España	-2.4783117	39.0424927
España	Albacete	483	Tarazona de la Mancha	Tarazona de la Mancha 	Tarazona de la Mancha ,Albacete,España	-1.912995	39.2651188
España	Albacete	484	Casas de Ves	Casas de Ves 	Casas de Ves ,Albacete,España	-1.3330645	39.2578708
España	Albacete	485	Higueruela	Higueruela 	Higueruela ,Albacete,España	-1.4422609	38.9618433
España	Albacete	486	Peñas de San Pedro	Peñas de San Pedro 	Peñas de San Pedro ,Albacete,España	-2.0010004	38.7256513
España	Albacete	487	Caudete de la Encina	Caudete 	Caudete ,Albacete,España	-1.0011902	38.7116011
España	Albacete	488	Letur	Letur 	Letur ,Albacete,España	-2.1014619	38.3656261
España	Albacete	489	Agramón	Agramón 	Agramón ,Albacete,España	-1.637958	38.4233772
España	Alicante/Alacant	781	Biar	Biar 	Biar ,Alicante/Alacant,España	-0.7663538	38.6308202
España	Alicante/Alacant	782	Benilloba	Benilloba 	Benilloba ,Alicante/Alacant,España	-0.3883735	38.7001669
España	Alicante/Alacant	783	Benialí	Beniali 	Beniali ,Alicante/Alacant,España	-0.2211143	38.8220534
España	Alicante/Alacant	784	Calp	Calpe/Calp 	Calpe/Calp ,Alicante/Alacant,España	0.04568759999999999	38.6436469
España	Alicante/Alacant	785	El Pinós	El Pinós/Pinoso 	El Pinós/Pinoso ,Alicante/Alacant,España	-1.0411107	38.4035164
España	Alicante/Alacant	786	Monforte	Monforte del Cid	Monforte del Cid,Alicante/Alacant,España	-0.7283354	38.3788429
España	Alicante/Alacant	787	 El Campello	El Campello 	El Campello ,Alicante/Alacant,España	-0.397816	38.4289804
España	Alicante/Alacant	788	Crevillent	Crevillent 	Crevillent ,Alicante/Alacant,España	-0.8113636	38.2446844
España	Alicante/Alacant	789	Dolores	Dolores 	Dolores ,Alicante/Alacant,España	-0.7698073	38.138686
España	Alicante/Alacant	790	Guardamar	Guardamar del Segura 	Guardamar del Segura ,Alicante/Alacant,España	-0.6678177	38.0718346
España	Almería	553	Fiñana	Fiñana 	Fiñana ,Almería,España	-2.8415046	37.1709472
España	Almería	554	Suflí	Suflí 	Suflí ,Almería,España	-2.389076	37.3383263
España	Almería	555	Taberno	Taberno 	Taberno ,Almería,España	-2.0781641	37.469275
España	Almería	556	La Alquería de Adra	La Alquería 	La Alquería ,Almería,España	-3.0014491	36.77825139999999
España	Almería	557	Alicún de Almería	Alicún 	Alicún ,Almería,España	-2.6024935	36.96632140000001
España	Almería	558	Cabo de Gata	Cabo de Gata 	Cabo de Gata ,Almería,España	-2.2422484	36.7817465
España	Almería	559	Lucainena de las Torres	Lucainena de las Torres 	Lucainena de las Torres ,Almería,España	-2.201005	37.0407929
España	Almería	560	Mojácar	Mojácar 	Mojácar ,Almería,España	-1.8611011	37.1220313
España	Asturias	300	Salgueiras	Salgueiras 	Salgueiras ,Asturias,España	-7.0253146	43.318987
España	Asturias	301	As Campas	Las Campas	Las Campas,Asturias,España	-5.887406100000001	43.3649399
España	Asturias	302	Freal	Freal 	Freal ,Asturias,España	-6.681689	43.54571749999999
España	Asturias	303	Boal	Boal 	Boal ,Asturias,España	-6.8196922	43.4289894
España	Asturias	304	Busmente	Busmente 	Busmente ,Asturias,España	-6.6902116	43.4243513
España	Asturias	305	Navelgas	Navelgas 	Navelgas ,Asturias,España	-6.543981199999999	43.40402
España	Asturias	306	Santa Eulalia	Santa Eulalia 	Santa Eulalia ,Asturias,España	-5.8119817	43.3179731
