Corpus;EjemploID;Búsqueda;DOCUMENTO;FECHA;Fecha_procesada;PROVINCIA;CONTEXTO_PRECEDENTE;FORMA;CONTEXTO_SIGUIENTE;Articulo_enca;Prep_anterior;Casa;Prep_posterior;Verbo;Observaciones
CHARTA;1;ca;CDHM-0031 {h1va:35};1621;NA;Mérida;renuncio el mío propio, vezindad y domisilio y la ley y nueba pragmática de sumisiones como en ella y en;ca;da una d'ellas se contienen, para que por todo rigor de derecho y bía executiba me compelan y apremien al;No;NA;NA;NA;NA;
CHARTA;2;ca;CODCAR-0005 {h1ra:5};1231;1231;Zamora;las casas ni en los vassallos del abad nin de los monges de San Fagund, por ó quier que sean,;ca;qui lo fiziesse pecharié el conducho e lo que ý prisiesse doblado al abad, e a mí los XL morabetinos;No;NA;NA;NA;NA;
CHARTA;3;ca;CODCAR-0005 {h1ra:7};1231;1231;Zamora;ý prisiesse doblado al abad, e a mí los XL morabetinos del coto que yo é puesto en mio regno,;ca;bien quiero que las cosas del abad de Sant Fagund, que quiero bien e que me faze servicio, que sean;No;NA;NA;NA;NA;
CHARTA;4;ca;CODCAR-0006 {h1ra:8};1231;1231;Burgos;derecho por todas estas cosas que de suso son dichas, man-do que ninguno non sea osado de forçarle la peindra,;ca;qui lo fiziesse avrié mi ira e pechar m'ié cient morabedís en coto e al monesterio el daño duplado. E;No;NA;NA;NA;NA;
CHARTA;5;ca;CODCAR-0015 {h1ra:14};1239;1239;Burgos;fazer dos cartas semejables, partidas por abecé, e ambas seelladas con tres seellos: con el seello mio de la chancelería,;ca;este cambio en mio nombre es fecho e non en nombre de la eglesia de Osma, ca a mí dio;No;NA;NA;NA;NA;
CHARTA;6;ca;CODCAR-0015 {h1ra:14};1239;1239;Burgos;de la chancelería, ca este cambio en mio nombre es fecho e non en nombre de la eglesia de Osma,;ca;"a mí dio el rey Veas e non a la eglesia de Osma; e con el seello del maestro e";No;NA;NA;NA;NA;
CHARTA;7;ca;CODCAR-0017 {h1ra:10};1241;1241;Córdoba;"firme e estable pora siempre; e <nenguno> non sea osado de ir contra <el>la nin de men-guarla en n<e>nguna cosa,";ca;el que lo fiziesse avrié la mi ira e pechar m'ié en coto mill morabedís e a vós e a;No;NA;NA;NA;NA;
CHARTA;8;ca;CODCAR-0019 {h1ra:5};1241;1241;Toledo;les deven debdas. Onde mando e defiendo firmemientre que nenguno non s<ea> osado de peindrar la recua por nenguna razón,;ca;el qui lo fiziesse perderié el cuerpo e cuanto oviess<e. E> si alguno oviere querella del comendador o de los;No;NA;NA;NA;NA;
CHARTA;9;ca;CODCAR-0027 {h1ra:6};1247;1247;Sevilla;e defiendo fir<me>mientre que nenguno non sea osado de fazer tuerto nin fuerça nin demás en nengunas cosas del obispado,;ca;aquel que lo fiziesse, al cuerpo e a cuanto oviesse me tornaría por ello. Demás mándovos que recudades con todos;No;NA;NA;NA;NA;
CHARTA;10;ca;CODCAR-0028 {h1ra:12};1247;1247;Sevilla;que passare en ella por querella que aya de los freires nin de otro nenguno nin por otra cosa nenguna,;ca;qui lo fiziesse avrié mi ira e pechar m'ié en coto quinientos moravedís e a vós el daño duplado.;No;NA;NA;NA;NA;
CHARTA;11;ca;CODCAR-0029 {h1ra:11};1248;1248;Sevilla;todos tiempos e nenguno non sea osado de quebrantarla nin de ir co<ntra> ella nin de menguarla en nenguna cosa,;ca;el que lo fiziesse avrié la ira de Dios e la mía e pechar m'ié en <coto> mill morabedís e;No;NA;NA;NA;NA;
CHARTA;12;ca;CODCAR-0030 {h1ra:17};1248;1248;Sevilla;todos tiempos e ninguno non sea osado de crebantarla nin de minguarla nin de ir contra ella en ninguna cosa,;ca;aquel que lo fiziesse avrié la ira de Deus e la mía e pechar m'ié en coto mil moravedís e;No;NA;NA;NA;NA;
CHARTA;13;ca;CODCAR-0031 {h1ra:17};1248;1248;Sevilla;"todos tiempos; e nenguno non sea osado de quebrantarla nin de menguarla nin de ir contra ella en nenguna cosa,";ca;aquel que lo fiziesse avrié la ira de Dios e la mía e pechar m'ié en coto mil morabedís e;No;NA;NA;NA;NA;
CHARTA;14;ca;CODCAR-0033 {h1ra:15};1250;1250;Sevilla;que ninguno non sea osado de venir contra esta mi confirmación nin de quebrantarla nin de menguarla en ninguna cosa,;ca;el que lo fiziesse avrié la ira de Dios e la mía e pechar m'ié en coto mil moravedís e;No;NA;NA;NA;NA;
CHARTA;15;ca;CODCAR-0036 {h1ra:25};1250;1250;Sevilla;dos alcaldes assí como sobredicho es. Otrossí mando que los menestrales non echen suerte en el juidgado por ser jueces,;ca;el juez deve tener la seña, e tengo que, si a afruenta viniesse o a logar de periglo e omne;No;NA;NA;NA;NA;
CHARTA;16;ca;CODCAR-0036 {h1ra:31};1250;1250;Sevilla;tornaría por ello. E mando que nenguno non sea osado de dar nin de tomar calças por casar so parienta,;ca;el que las tomasse pechar las ié dupladas al que gelas diesse e pecharié cincuaenta moravedís en coto, los veint;No;NA;NA;NA;NA;
CHARTA;17;ca;CODCAR-0036 {h1ra:38};1250;1250;Sevilla;que nenguno non sea osado de venir contra esta mi carta nin de quebrantarla nin de menguarla en nenguna cosa,;ca;aquel que lo ficiesse avrié la ira de Dios e la mia e pechar m'ié en coto mill moravedís.;No;NA;NA;NA;NA;
CHARTA;18;ca;CODCAR-0038 {h1ra:10};1251;1251;Sevilla;que nenguno non sea osado de venir contra esta mi carta nin de crebantarla nin de menguarla en nenguna cosa,;ca;aquel que lo fiziesse avrié mi ira e pechar m'ié en coto dozientos moravedís e a vós, o a quien;No;NA;NA;NA;NA;
CHARTA;19;ca;CODCAR-0039 {h1ra:12};1251;1251;Sevilla;que nenguno non sea osado de venir contra esta mi carta nin de crebantarla nin de menguarla en nenguna cosa,;ca;aquel que lo fiziesse avrié mi ira e pechar m'ié en coto cient moravedís e a ellos, o a quien;No;NA;NA;NA;NA;
CHARTA;20;ca;CODCAR-0040 {h1ra:13};1251;1251;Sevilla;que nenguno non sea osado de venir contra esta mi carta nin de crebantarla nin de menguarla en nenguna cosa,;ca;aquel que lo fiziesse avrié mi ira e pechar m'ié en coto cient moravedís e a vós, o a quien;No;NA;NA;NA;NA;
CHARTA;21;ca;CODCAR-0042 {h1ra:9};1252;1252;Sevilla;mal nenguno nin de pendrarlos, si non fuere por su debda propria o por fiadura que ellos mismos ayan fecha,;ca;"qui quier que lo fiziesse avrié mi ira e pechar m'ié en coto cient moravedís; e a ellos, o a";No;NA;NA;NA;NA;
CHARTA;22;ca;CODCAR-0043 {h1ra:18};1252;1252;Sevilla;que ninguno non sea osado de venir contra esta mi carta nin de crebantarla nin de menguarla en nenguna cosa,;ca;cualquiere que lo fiziesse avrié mi ira e pechar m'ié en coto mill moravedís, a mí o a quien regnasse;No;NA;NA;NA;NA;
