Corpus;EjemploID;Búsqueda;DOCUMENTO;FECHA;Fecha_procesada;PROVINCIA;CONTEXTO_PRECEDENTE;FORMA;CONTEXTO_SIGUIENTE;Articulo_enca;Prep_anterior;Casa;Prep_posterior;Verbo;Observaciones
CODEA;1;cas;CODEA-2168 {h1ra:11};1226;1226;Toledo;molinos que cuanta madera ovieren mester que la corten en los montes e en las defesas de Alfamín pora esta;cas;e pora sarços e pora verga, fuera árbol fruitero y frexno. mas pora entruesgas y peñazos y aspas tajen enzinas.;Interesante;pora;cas;demostrativo;NA;
CODEA;2;cas;CODEA-0936 {h1ra:3};1357;1357;Navarra;capítol del dit monasteri segont usat e costumnat avem de plegarnos entro al día de huey en tals e semellables;cas,;trebudam e dam a trebut a vós, Martín de Saldias, ortelán de Pampalona, e María d'Uvani, vostra muller, aquelles dos;No;NA;NA;NA;NA;
CODEA;3;cas;CODEA-0982 {h1ra:5};1358;1358;Navarra?;del dit monasteri segont usat e costumnat avem de plegar nós entro al día de huey per tals e semellables;cas,;trebúdam e dam a trebut aquela viña que lo dit convent e monasteri á dejus la Rocha a vós Sancho;No;NA;NA;NA;NA;
CODEA;4;ca;CODEA-0230 {h1ra:8};1214;1214;Palencia?;Aguilar e somos arrancados por judizio de Petro Roíz de Foyos qui es adelantado del rey e elle lo juzgó;ca;non pudiemos complir que nostra madre hí eredara cumo nós diziemos e Gutier Garcíez, ermano de Petro Roíz de Foyos,;No;NA;NA;NA;NA;
CODEA;5;ca;CODEA-0159 {h1ra:20};1229;1229;Burgos;la sellar con mio siello pendient. Et defiendo que ninguno non sea osado de venir contra ella nin de quebrantarla,;ca;qui lo fiziesse avrié mi ira e pechar m'ía mil morabetinos en coto, e el daño que fiziesse pechar lo;No;NA;NA;NA;NA;
CODEA;6;ca;CODEA-0489 {h1ra:4};1237;1237;Cuenca;e fallado por verdat que non avía yo derecho ninguno en los molinos, e yo creí·l al obispo de consejo,;ca;yo entendí que·m consejó derecho, e yo partí·m de la demandanza que les demandava de los molinos, e de los;No;NA;NA;NA;NA;
CODEA;7;ca;CODEA-0489 {h1ra:5};1237;1237;Cuenca;lagar e de la bodega con la casa de suso, e de la viña que fue de don Peidro Villanueva,;ca;yo non avía ý derecho ninguno en demandarlo. E yo prometí al obispo e a don abat que nuncua yo;No;NA;NA;NA;NA;
CODEA;8;ca;CODEA-1200 {h1ra:14};1239;1239;Burgos;fazer dos cartas semejables partidas por abecé, e ambas seelladas con tres seellos: con el seello mío de la chancellería,;ca;este cambio en mio nombre es fecho e non en nombre de la eglesia de Osma, ca a mí dio;No;NA;NA;NA;NA;
CODEA;9;ca;CODEA-1200 {h1ra:14};1239;1239;Burgos;de la chancellería, ca este cambio en mio nombre es fecho e non en nombre de la eglesia de Osma,;ca;a mí dio el rey Veas e non a la eglesia de Osma, e con el seello del maestro e;No;NA;NA;NA;NA;
CODEA;10;ca;CODEA-1201 {h1ra:7};1246;1246;Córdoba;que nenguno non sea osado de venir contra esta mi carta, nin de contrallarla nin de menguarla en nenguna cosa,;ca;el que lo fiziesse avrié mi ira e pechar m'ie en coto mill morabedís, e a vós, e a la;No;NA;NA;NA;NA;
