Corpus;EjemploID;Búsqueda;Marca;Concordancia;DOCUMENTO;Siglo;Año;Fecha_procesada;Pais_actual;Autor_hombre_o_mujer;Autor_datos_etnicos;Tipo_textual;Como_citar;Articulo_enca;Prep_anterior;Casa;Prep_posterior;Verbo;Observaciones
CORDIAM;1;cas;v;testygos que fueron presentes a ver leer e conçertar este dicho traslado de la dicha Carta oreginal de ynstruçion françisco de madrid vezino dende e françisco de san miguel vezino de ledesma e miguel de cas de dios vezino de jaca e Alonso de ledesma vezino…;Guzman1;15;1494;1494;RD;hombre;varios;Documentos administrativos;[Año 1494, Republica Dominicana, Documentos administrativos, CORDIAM];Otra_preposicion;de;cas;de;procedencia;
CORDIAM;2;cas;v; … o de Pero González. An de venjr / encamjnadas a cas (sic) de el friscal del rey. Enbia / vuestra muge…;DLNECC38;16;1571;1571;MEX;hombre;español;Documentos entre particulares: cartas y otros;[Año 1571, México, Documentos entre particulares: cartas y otros, CORDIAM];Válida;a;cas;de;movimiento;encaminarse
CORDIAM;3;cas;v; …ys ay, que yo yré / por vos. Aveys d[e] escrevir cas de Andres de / Loya, o a cas de Francisco de Castro.;DLNECC38;16;1571;1571;MEX;hombre;español;Documentos entre particulares: cartas y otros;[Año 1571, México, Documentos entre particulares: cartas y otros, CORDIAM];Válida;no;cas;de;movimiento;
CORDIAM;4;cas;v; … Aveys d[e] escrevir cas de Andres de / Loya, o a cas de Francisco de Castro. Mjra que os avisso / que …;DLNECC38;16;1571;1571;MEX;hombre;español;Documentos entre particulares: cartas y otros;[Año 1571, México, Documentos entre particulares: cartas y otros, CORDIAM];Válida;a;cas;de;movimiento;
CORDIAM;5;cas;v; … de oropesa asi de los españoles como de las pre cas de la dicha Villa Para que por el tiempo que ffue…;;16;1590;1590;BOL;hombre;s/d;Documentos administrativos;[Año 1590, Bolivia, Documentos administrativos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;6;cas;v; …oles difuntos, que ellos habian muerto diez <tach:cas> castillas / y dos mexicos y que todos heran vnos…;;16;1598;1598;EUA;hombre;criollo;Documentos jurídicos;[Año 1598, Estados Unidos, Documentos jurídicos, CORDIAM];No;NA;NA;NA;NA;
CORDIAM;7;cas;v; …cia\\\ ¡A, señor! ¿Para qué entró  fulano en cas de fulana?  La otra: ¿por qué es galana?  Y eso…;FGE;16;ca. 1599;1599;MEX;hombre;;Teatro;[Año ca. 1599, México, Teatro, CORDIAM];Válida;en;cas;de;ambiguo;
CORDIAM;8;cas;v;¿No está en prendas del tomín que truxe de solimán  de cas de Miguel Martín?     \\\Presunción\\\ No publ…;FGE;16;ca. 1599;1599;MEX;hombre;;Teatro;[Año ca. 1599, México, Teatro, CORDIAM];Otra_preposicion;de;cas;de;procedencia;
CORDIAM;9;cas;v; …     ¿Dó va con tantos carrillos?  Dirá que a cas de su plima.  \\\Presunción\\\ Malicia no se te …;FGE;16;ca. 1599;1599;MEX;hombre;;Teatro;[Año ca. 1599, México, Teatro, CORDIAM];Válida;a;cas;de;movimiento;
CORDIAM;10;cas;v;"\\Capilla\\\ O, do al diablo el cochino
canceruero,
esquilencia en su guarguero,
esquilencia y mala buba, y en la calle de Tacuba  que fuelle en cas de vn herrero.     \\\Qüestión\\\ Y prega a Di…";FGE;16;ca. 1599;1599;MEX;hombre;;Teatro;[Año ca. 1599, México, Teatro, CORDIAM];Válida;en;cas;de;estado;Creo
CORDIAM;11;cas;v; …e vas?  \\\Lope Bodigo\\\ A ver vn rato  jugar en cas de vn amigo,  por ver si me dan barato.     \\\I…;FGE;16;ca. 1599;1599;MEX;hombre;;Teatro;[Año ca. 1599, México, Teatro, CORDIAM];Válida;en;cas;de;estado;
CORDIAM;12;cas;v;anbién eran uírgenes, las escogidas / dexedoras para la rropa y para las chácaras, sementeras. /30 Y eran muy mucha gente de edad de cinqüenta / años hasta cien años. Trauajaua estas dichas donzelas / purun uarmi acllacona, uinay donzella. / Otra cas de aclla conas del mismo ynga. / Que alguna déstas eran uírgenes, algunas estauan /35 corronpidas y amanzebás del mismo Ynga. Eran hijas / de prencipales y éstas se ocupauan sólo en hazer rropa / para el Ynga mejoor (sic) que tafetán y seda. ;HP14;17;ca. 1615;1615;PER;hombre;;Textos cronísticos;[Año ca. 1615, Perú, Textos cronísticos, CORDIAM];Ambiguo;no;cas;de;otro;
CORDIAM;13;cas;v;Acimismo tengaes cuydado con las casas de la yglecia, casa del padre, cabildo y / casas de los yndios que cubra, aumente mucho más. Y el quien /25 derriuare, le castigarés y penarés todas las cas (sic) y plasa, / yglecia, calles muy linpias que …;HP29;17;ca. 1615;1615;PER;hombre;;Textos cronísticos;[Año ca. 1615, Perú, Textos cronísticos, CORDIAM];Error?;no;cas;no;otro;
