ID_juntos;ID;Provincia;Enclave;COSERID;Ejemplo;Preposicion_anterior;Forma;Preposicion_de;Definitud_termino;Termino_tipo;Verbo;Observaciones;Búsqueda
1;4;Albacete;Barrax;204;" I1 : No, no, pos yo sí lo miraba, yo sí lo miraba.  I2 : Sí, tú y yo y el otro y el otro. [HS:I1 Lo mismo que] Si yo lo que…  I1 : que el acostao y el levantao también lo miraba porque mi madre, la pobre, me lo decía. [HS:E2 Claro.] ""Que no, hijo mío, no hijo mío que lo peor que hay en este mundo es en-, encontrarte sin, sin tu padre."" Y eran que si era Fulano que si era Mengano, y sabían bien cierto de quién era. [HS:E2 [Asent]] ¿Sabes? Pero hacían esas cosas entonces, y nadie les, les decía na. Y eso yo no lo quería. Y, y na, ya eso. Pero se enteran que era novio con ella [HS:E2 [Asent]] y dice mi [Rndo: suegro] que no. Pero ella me dice: ""No me deja mi padre"". [A-Inn] estaba, [A-Inn] estaba de moza en el invierno, porque ya, ya una vez que iba a llegar ya se venía a prepararse para [A-Inn]. Y, y me dice: ""Pero vamos esta noche en ca mi tía"", que [A-PIn: vivían entonces aquí], en el hoyo, entonces, aquí… Entonces, eh, aquí no había casas.  I2 : Aquí no había casa ninguna. [V-Sml] Esta casa es la primera que se hizo aquí [R-Glp] hace vinticinco años. ¡La primera!  E1 : ¿Estaba solamente la iglesia y el…? ";en;ca;no;definido;parentesco;movimiento;;ca
2;7;Albacete;Barrax;204;I1 : Yo tampoco | [HS:I2 No.] tan-, tanto como eso, no.  I2 : Bueno, espera. Bueno, sí, espera, me echaron a la mierda. Tuve que [A-PIn: dar] mal un año y pico. Viene luego [A-PIn: [NP], el] mocoso. El otro. Eh, mocoso, me, me refiero que era un chiquillo.  I1 : Sí, sí.  I2 : Lo metieron, a lo mejor, debajo el sofá. Luego, como quedó mal la [NP] con [NP], vino [NP]. Lo metieron adentro. Y yo: al [A-PIn: jareglás.] Yo casé allí… Yo, yo pasé pa allí, en ca mi suegro cuando me casé, el mismo día que me casé. Una noche [R-Glp] que pasé me echaron a la mierda.  I1 : Bueno, yo…  I2 : ¿Y sabes lo que te digo? Yo [A-PIn: eso] no lo miro. Lo, lo, no me se olvida.  E1 : Exacto, ¡claro! ;en;ca;no;definido;parentesco;movimiento;;ca
3;10;Albacete;Barrax;204;E1 : Muchos corderos hay que matar para [HS:I2 Pero estuvo [A-PIn: también, estuvo también]] dar de comer a seiscientos.  I2 : [HS:I1 ¡Bajé yo! Como ahora que iba a bajar.] [A-Inn] seiscientas personas. [A-Inn] Había cien camareros.  I1 : Si me | si tengo tiempo, sí. [HS:I2 [A-Inn]] [A-Inn] Ya no, porque ya… [A-Inn] no tengo prisa pero… Y…, y voy a bajar en ca mi [NP], a dar una vuelta, y…  I2 : No bajes ya. Desde aquí te vuelves y quedas mejor.  I1 : No. [RISAS]  E1 : [NP] qué es ¿un familiar? [A-Inn] ;en;ca;no;definido;parentesco;movimiento;;ca
4;352;Alicante;Benimarfull;303;I2 : No, pues no, en esa fecha el castigo no era..., pues a veces, hacer una guardia, ¿comprende?, [HS:E2 [Asent].] [OTRAS-EM] sí cosas de esas, pero no, a veces, pues limpiar, limpiar la batería, a, a, a limpiarlo, barrerlo y..., y fregarlo, [HS:E2 [Asent].] cosas de esas. [HS:E2 [Asent].] No..., no... entonces no era..., [HS:E2 [Asent].] sí. E2 : Porque ¿cuánto tiempo estuvo allí? I2 :  Yo deciocho meses, [HS:E2 [Asent].] sí, no entonces ya, ya, entonces ya era poquito, no los, los de cuatro o cinco años en atrás sí que era más, [HS:E2 [Asent].] pero [OTRAS-EM] sí, eso, no entonces no, ya, ya durábamos poco, [HS:E2 [Asent].] ya..., ya... Lo que pasa que nos daban la licencia pa ir a casa porque estábamos bajo el régimen por eso le he dicho antes yo que yo hasta los veintiséis años me fui a Venezuela porque yo en casa, [R-Vhc] si el que se quería ir antes no le dejaban salir [R-Vhc] porque en ca estaba en régimen de, de, de servicio, [HS:E2 [Asent].] bueno, sí, [HS:E2 [Asent].] sí, así que, bueno, ahora sí que me voy, no, no, ya está bien ya, sí.  E2 : No. I2 : No, no. E2 : No, espérese un momento. I2 : No..., ya no, ahora sí que no, ya no. ;en;ca;NA;NA;NA;estado;;ca
5;353;Alicante;Benimarfull;303;I2 : Sí, ella el ajuar y yo también. Yo, bueno yo..., los muebles y todo lo hicimos después, ¿comprende?, [HS:E2 [Asent].] allá porque allá no, después allá no, aquí lo hicen después, [HS:E2 [Asent].] sí. E2 : Porque ella, ¿qué llevaba, qué...? I2 :  Ella pues..., también lo dejó aquí [HS:E2 [Asent].] porque tenía allí, pues las toallas y todo el hogar, sí las sábanas y todas las cosas, no, [A-Inn] . Ella lo dejó aquí, lo tenía pero allá no llevamos nada, ¿comprende?, [HS:E2 [Asent].] porque allí compramos una cama y eso y, y conforme a donde estamos, eh... usted sabe, [HS:E2 [Asent].] pues estando allí... vivimos primero en ca mi cuñao, mi cuñada [CHASQ] que ellos ya tenían, agarramos una casa de, de alquiler y entonces ya vivíamos juntos y compramos la cama o lo que fuera y ya está, ¿sabe?, [HS:E2 [Asent].] lo justo y en después pues mira cuatro toallas, sí, al, al, al ajuar y eso cuando vinimos, es cuando lo sacó y ya, ya compré, que compré el piso que en después compré la ca, eh..., eh... los, los muebles y eso, el piso ese y ya vivimos ahí, sí.  E2 : ¿Su, su boda dónde fue?, ¿en Muro? I2 : En Muro, en Muro mismo, sí, allí en un local, allí... sí, de un familiar de ella que tenía un local, y allí mismo hicimos las paellas y eso, ¿comprende?, [HS:E2 [Asent].] sí. Entonces no se estilaba aún el banquete como ahora, ¿comprende? [HS:E2 [Asent].] En fin. ;en;ca;no;definido;parentesco;estado;;ca
6;311;Alicante;Salinas;310; E3 : ¿Tuvieron ustedes luna de miel o no, no tuvieron?  I1 : ¿Quién?  E3 : ¿Ustedes cuando se casaron?  I1 : ¿Cuándo nos fuimos…? Sí. Nos fuimos dos semanas a ca una tía de ella, a Murcia, que tiene. [RISA] Claro sí, eso sí. Sin embargo ellos no se han ido a ningún lao.  E2 : ¿Ah, no?  I1 : Ellos no, a trabajar.  E2 : Vaya.  I1 : Sí, este sí. Ese fue a Palma o a Tenerife o algo, estuvieron quince o veinte días por ahí. La comi-, la coma, esto me lo como yo, ¿eh? [RISAS] Me lo voy trayendo pa acá poco a poco. [RISAS] La manta. Y mira ya… ;a;ca;no;indefinido;parentesco;movimiento;;ca
7;34;Badajoz;Orellana de la Sierra;723;"I2 : Digo: ""No, no, no me, no me ha invitao que no he ío y ya está"". Y estaba mi marío en el servicio, que no estaba aquí siquiera, y no fui a su casa.  E2 : ¿Por vergüenza?  I2 : [R-Ind] Sí, porque no entraban an ca los novios, no entraban, no iban por allí y luego ellos venían a la casa de la novia pero, escucha, por la noche un ratito, ¿eh? No te creas que iban a estar ahí to el día berre que berre, nada...  E2 : ¿Iban a cenar o... no?  I2 : ¿Eh?  E2 : ¿A qué iban a casa de la chica, los chicos?";an;ca;no;genérico;otro;ambiguo;;ca
8;332;Badajoz;Orellana de la Sierra;723;" I2 : Tomó la comunión mi [Rndo: cuñá y yo no fui ni a la comunión siquiera.] Diras que tontá también y ya te digo que, que era una gente que no es extraño, ¿no? Me acuerdo que tomó otra chica la comunión ahí más allá en esa casa, y me dice la madre: ""Ay que ver, [NP], no haberte yo invitao a la, a la comunión de mi [NP]contando que estabas a ca tu cuñá"". Y ahora dicen: ""¡Ay! A ca tu cuñá que no te... han invitao"". Digo: ""No, no, no me, no me ha invitao que no he ío y ya está"". Y estaba mi marío en el servicio, que no estaba aquí siquiera, y no fui a su casa.  E2 : ¿Por vergüenza?  I2 : [R-Ind] Sí, porque no entraban en ca los novios, no entraban, no iban por allí y luego ellos venían a la casa de la novia pero, escucha, por la noche un ratito, ¿eh? No te creas que iban a estar ahí to el día berre que berre, nada... ";a;ca;no;definido;parentesco;estado;;ca
9;333;Badajoz;Orellana de la Sierra;723;" I2 : Tomó la comunión mi [Rndo: cuñá y yo no fui ni a la comunión siquiera.] Diras que tontá también y ya te digo que, que era una gente que no es extraño, ¿no? Me acuerdo que tomó otra chica la comunión ahí más allá en esa casa, y me dice la madre: ""Ay que ver, [NP], no haberte yo invitao a la, a la comunión de mi [NP]contando que estabas a ca tu cuñá"". Y ahora dicen: ""¡Ay! A ca tu cuñá que no te... han invitao"". Digo: ""No, no, no me, no me ha invitao que no he ío y ya está"". Y estaba mi marío en el servicio, que no estaba aquí siquiera, y no fui a su casa.  E2 : ¿Por vergüenza?  I2 : [R-Ind] Sí, porque no entraban en ca los novios, no entraban, no iban por allí y luego ellos venían a la casa de la novia pero, escucha, por la noche un ratito, ¿eh? No te creas que iban a estar ahí to el día berre que berre, nada... ";a;ca;no;definido;parentesco;estado;;ca
10;336;Badajoz;Orellana de la Sierra;723;I2 : Sus comidas, luego después, al otro día la tornaboda que decía, [HS:E2 ¿La qué?] La tornaboda, decía, bueno, al otro día de casarse, ¿no?, por la mañana, se iban a misa, que se ponían eso, [PS] y comían a ca su suegra, daba la comida la suegra, la merienda y la cena pa los padres, las hermanos, la gente de casa. Sí, pero lo daban lo..., [V-Ljn] los padres de él, acá los novios eran ande se iban. Eso sí se celebraba mu bien, la boda sí, se hacía mu bien las bodas, pero de ya muchos años, que yo me acuerdo de chiquitilla que iba a bodas y eso sí, eso sí lo hacía la gente, y se hacían sus dulces, to la gente hacía mantecaos, madalenas, flores, menudillos como te digo de eso.;a;ca;no;definido;parentesco;estado;;ca
