COSERID	ca	casa	total	percentage_ca	Village	Province	Nombre	longitude	latitude
109	0	2	2	0	Menagaray	Alava	Menagaray, Alava, España	-3.0735861	43.0957124
204	3	3	6	50	Barrax	Albacete	Barrax, Albacete, España	-2.2014625	39.0445824
303	2	4	6	33.33333333333333	Benimarfull	Alicante	Benimarfull, Alicante, España	-0.3919059	38.7760788
304	0	2	2	0	Busot 	Alicante	Busot , Alicante, España	-0.4178201	38.4835931
306	0	1	1	0	El Mojón	Alicante	El Mojón, Alicante, España	-0.7656084999999999	37.8462913
310	1	1	2	50	Salinas	Alicante	Salinas, Alicante, España	-0.9116263000000001	38.5195565
509	0	1	1	0	Fechaladrona	Asturias	Fechaladrona, Asturias, España	-5.5646813999999996	43.2067568
523	0	1	1	0	Cadavedo	Asturias	Cadavedo, Asturias, España	-6.388265199999999	43.5446386
528	0	2	2	0	Grullos	Asturias	Grullos, Asturias, España	-6.0591861	43.4361741
604	0	4	4	0	Burgohondo	Avila	Burgohondo, Avila, España	-4.7859886	40.4126337
609	0	4	4	0	Madrigal de las Altas Torres 	Avila	Madrigal de las Altas Torres , Avila, España	-4.9980028	41.0900993
716	0	1	1	0	La Garrovilla	Badajoz	La Garrovilla, Badajoz, España	-6.4781331	38.9207094
723	7	2	9	77.77777777777779	Orellana de la Sierra	Badajoz	Orellana de la Sierra, Badajoz, España	-5.4967897	39.0309755
922	0	1	1	0	Humada	Burgos	Humada, Burgos, España	-4.0839205	42.6676872
934	0	2	2	0	Pedruzo (Condado de Trevinno)	Burgos	Pedruzo (Condado de Trevinno), Burgos, España	-2.6937272	42.7135997
939	0	1	1	0	Quintana de los Prados	Burgos	Quintana de los Prados, Burgos, España	-3.5126652	43.076444
959	0	5	5	0	Villaverde-Mogina 	Burgos	Villaverde-Mogina , Burgos, España	-4.050271299999999	42.1604357
1012	0	4	4	0	Jarandilla de la Vera	Caceres	Jarandilla de la Vera, Caceres, España	-5.708940999999999	40.12627
1015	0	20	20	0	Navalmoral de la Mata	Caceres	Navalmoral de la Mata, Caceres, España	-5.5329619	39.8935644
1023	3	0	3	100	Campo Lugar	Caceres	Campo Lugar, Caceres, España	-5.7734377	39.1947059
1307	0	2	2	0	Jerica	Castellon	Jerica, Castellon, España	-0.5718884	39.9117766
1308	0	1	1	0	Lucena del Cid	Castellon	Lucena del Cid, Castellon, España	-0.281068	40.13688459999999
1319	4	11	15	26.666666666666668	La Vilavella	Castellon	La Vilavella, Castellon, España	-0.1844892	39.8588423
1401	1	0	1	100	Aldea del Rey	Ciudad Real	Aldea del Rey, Ciudad Real, España	-3.8388132	38.7380993
1404	0	4	4	0	Argamasilla de Alba	Ciudad Real	Argamasilla de Alba, Ciudad Real, España	-3.0951959000000002	39.1264201
1414	1	4	5	20	Malagon	Ciudad Real	Malagon, Ciudad Real, España	-3.853225	39.1668064
1417	0	2	2	0	Porzuna	Ciudad Real	Porzuna, Ciudad Real, España	-4.155215399999999	39.1468093
1503	0	1	1	0	Aguilar de la Frontera  	Córdoba 	Aguilar de la Frontera  , Córdoba , España	-4.6566596	37.5138455
1517	3	2	5	60	Cañete de las Torres	Cordoba	Cañete de las Torres, Cordoba, España	-4.3192729	37.8663547
1603	1	1	2	50	Belmonte	Cuenca	Belmonte, Cuenca, España	-2.7055583	39.5579559
1607	2	1	3	66.66666666666666	Cardenete	Cuenca	Cardenete, Cuenca, España	-1.6894332	39.7671712
1834	1	0	1	100	Tablones (Órgiva)	Granada	Tablones (Órgiva), Granada, España	-3.3987447	36.88484710000001
1838	0	3	3	0	Ventorros de San José (Loja) 	Granada	Ventorros de San José (Loja) , Granada, España	-4.1507366	37.2467356
1902	4	2	6	66.66666666666666	Canredondo	Guadalajara	Canredondo, Guadalajara, España	-2.4944242	40.8124281
1907	0	1	1	0	Cubillejos del Sitio (Molina de Aragón)	Guadalajara	Cubillejos del Sitio (Molina de Aragón), Guadalajara, España	-1.8044127	40.8909615
1921	0	9	9	0	Yebra	Guadalajara	Yebra, Guadalajara, España	-2.9663075	40.3564009
2001	0	1	1	0	Aguinaga (Usurbil)	Guipuzcoa	Aguinaga (Usurbil), Guipuzcoa, España	-2.072594	43.2769345
2004	0	1	1	0	Gabiria	Guipuzcoa	Gabiria, Guipuzcoa, España	-2.279352	43.0505823
2120	4	0	4	100	Villablanca	Huelva 	Villablanca, Huelva , España	-7.342878799999999	37.3024456
